time,open,high,low,close,#1,#2,#3,#5
1761243480,25264.5,25268.5,25261.75,25265.75,25012.25,25065.75,24843,21269
1761243660,25265.5,25278,25265.25,25271.5,25012.25,25065.75,24843,21269
1761243840,25271.25,25276.5,25267.75,25268,25012.25,25065.75,24843,21269
1761244020,25267.75,25277.75,25266.75,25276.25,25012.25,25065.75,24843,21269
1761244200,25276.25,25288,25271.75,25276.75,25012.25,25065.75,24843,21269
1761244380,25277,25277,25257.5,25258,25012.25,25065.75,24843,21269
1761244560,25258.75,25266,25258.25,25264.25,25012.25,25065.75,24843,21269
1761244740,25264.25,25266.25,25259,25264.75,25012.25,25065.75,24843,21269
1761244920,25264.75,25265,25256.75,25264.5,25012.25,25065.75,24843,21269
1761245100,25264.5,25266,25254.25,25257.25,25012.25,25065.75,24843,21269
1761245280,25256.75,25269.75,25254.25,25268.75,25012.25,25065.75,24843,21269
1761245460,25268.5,25274,25264,25271.5,25012.25,25065.75,24843,21269
1761245640,25272,25276,25269,25275,25012.25,25065.75,24843,21269
1761245820,25275.25,25277.25,25270.5,25273.75,25012.25,25065.75,24843,21269
1761246000,25274.25,25279.25,25267,25270,25012.25,25065.75,24843,21269
1761246180,25270.25,25275,25269.25,25271,25012.25,25065.75,24843,21269
1761246360,25271.25,25274,25262.5,25263.75,25012.25,25065.75,24843,21269
1761246540,25263.75,25281,25263,25278,25012.25,25065.75,24843,21269
1761246720,25277.5,25279.75,25276,25276.5,25012.25,25065.75,24843,21269
1761246900,25276.75,25280,25268,25269.5,25012.25,25065.75,24843,21269
1761247080,25268.75,25280.25,25266.75,25280,25012.25,25065.75,24843,21269
1761247260,25279.75,25282.5,25271.25,25272.5,25012.25,25065.75,24843,21269
1761247440,25272.75,25276,25266.25,25268.5,25012.25,25065.75,24843,21269
1761247620,25268,25277.75,25266.75,25275,25012.25,25065.75,24843,21269
1761247800,25275,25275,25267.5,25271.75,25012.25,25065.75,24843,21269
